"Provider","ProviderCountry","ISO","Country","URL","Plan","GB","Days","Price","Currency","SpecialOffer","OfferPonder","PriceDate","ISO3","variant_id","name","eur_price","usd_price","source"
"saily","Austria","AT","Austria","https://saily.com/esim-austria/","Unlimited","Unlimited","30","71.99","USD","","","2026-07-27","AUT","c3d68b94-bee1-45f2-a4b0-dcb7d43a5a4f","Select Unlimited - 30 days for 71.99 USD.","","71.99","offer_schema"
"saily","Azerbaijan","AZ","Azerbaijan","https://saily.com/esim-azerbaijan/","Standard","1","7","5.99","USD","","","2026-07-27","AZE","saily-AZE-Standard-1-7-5.99","Select 1 GB - 7 days for 5.99 USD.","","5.99","visible_text"
"saily","Azerbaijan","AZ","Azerbaijan","https://saily.com/esim-azerbaijan/","Standard","3","30","13.99","USD","","","2026-07-27","AZE","saily-AZE-Standard-3-30-13.99","Select 3 GB - 30 days for 13.99 USD.","","13.99","visible_text"
"saily","Azerbaijan","AZ","Azerbaijan","https://saily.com/esim-azerbaijan/","Standard","5","30","22.99","USD","","","2026-07-27","AZE","saily-AZE-Standard-5-30-22.99","Select 5 GB - 30 days for 22.99 USD.","","22.99","visible_text"
"saily","Azerbaijan","AZ","Azerbaijan","https://saily.com/esim-azerbaijan/","Standard","10","30","36.99","USD","","","2026-07-27","AZE","saily-AZE-Standard-10-30-36.99","Select 10 GB - 30 days for 36.99 USD.","","36.99","visible_text"
"saily","Bahamas","BS","Bahamas","https://saily.com/esim-bahamas/","Standard","1","7","8.99","USD","","","2026-07-27","BHS","saily-BHS-Standard-1-7-8.99","Select 1 GB - 7 days for 8.99 USD.","","8.99","visible_text"
"saily","Bahamas","BS","Bahamas","https://saily.com/esim-bahamas/","Standard","3","30","19.99","USD","","","2026-07-27","BHS","saily-BHS-Standard-3-30-19.99","Select 3 GB - 30 days for 19.99 USD.","","19.99","visible_text"
"saily","Bahamas","BS","Bahamas","https://saily.com/esim-bahamas/","Standard","5","30","29.99","USD","","","2026-07-27","BHS","saily-BHS-Standard-5-30-29.99","Select 5 GB - 30 days for 29.99 USD.","","29.99","visible_text"
"saily","Bahrain","BH","Bahrain","https://saily.com/esim-bahrain/","Standard","1","7","4.99","USD","","","2026-07-27","BHR","saily-BHR-Standard-1-7-4.99","Select 1 GB - 7 days for 4.99 USD.","","4.99","visible_text"
"saily","Bahrain","BH","Bahrain","https://saily.com/esim-bahrain/","Standard","3","30","11.99","USD","","","2026-07-27","BHR","saily-BHR-Standard-3-30-11.99","Select 3 GB - 30 days for 11.99 USD.","","11.99","visible_text"
"saily","Bahrain","BH","Bahrain","https://saily.com/esim-bahrain/","Standard","5","30","17.99","USD","","","2026-07-27","BHR","saily-BHR-Standard-5-30-17.99","Select 5 GB - 30 days for 17.99 USD.","","17.99","visible_text"
"saily","Bahrain","BH","Bahrain","https://saily.com/esim-bahrain/","Standard","10","30","28.99","USD","","","2026-07-27","BHR","saily-BHR-Standard-10-30-28.99","Select 10 GB - 30 days for 28.99 USD.","","28.99","visible_text"
"saily","Bahrain","BH","Bahrain","https://saily.com/esim-bahrain/","Standard","20","30","44.99","USD","","","2026-07-27","BHR","saily-BHR-Standard-20-30-44.99","Select 20 GB - 30 days for 44.99 USD.","","44.99","visible_text"
"saily","Barbados","BB","Barbados","https://saily.com/esim-barbados/","Standard","1","7","8.99","USD","","","2026-07-27","BRB","saily-BRB-Standard-1-7-8.99","Select 1 GB - 7 days for 8.99 USD.","","8.99","visible_text"
"saily","Barbados","BB","Barbados","https://saily.com/esim-barbados/","Standard","3","30","22.99","USD","","","2026-07-27","BRB","saily-BRB-Standard-3-30-22.99","Select 3 GB - 30 days for 22.99 USD.","","22.99","visible_text"
"saily","Barbados","BB","Barbados","https://saily.com/esim-barbados/","Standard","5","30","29.99","USD","","","2026-07-27","BRB","saily-BRB-Standard-5-30-29.99","Select 5 GB - 30 days for 29.99 USD.","","29.99","visible_text"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Standard","1","7","3.99","USD","","","2026-07-27","BEL","saily-BEL-Standard-1-7-3.99","Select 1 GB - 7 days for 3.99 USD.","","3.99","visible_text"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Standard","3","30","7.99","USD","","","2026-07-27","BEL","saily-BEL-Standard-3-30-7.99","Select 3 GB - 30 days for 7.99 USD.","","7.99","visible_text"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Standard","5","30","10.99","USD","","","2026-07-27","BEL","saily-BEL-Standard-5-30-10.99","Select 5 GB - 30 days for 10.99 USD.","","10.99","visible_text"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Standard","10","30","16.99","USD","","","2026-07-27","BEL","saily-BEL-Standard-10-30-16.99","Select 10 GB - 30 days for 16.99 USD.","","16.99","visible_text"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Standard","20","30","25.99","USD","","","2026-07-27","BEL","saily-BEL-Standard-20-30-25.99","Select 20 GB - 30 days for 25.99 USD.","","25.99","visible_text"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Unlimited","Unlimited","5","18.99","USD","","","2026-07-27","BEL","1ead5325-6f35-4e4d-92f0-8db58463e113","Select Unlimited - 5 days for 18.99 USD.","","18.99","offer_schema"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Unlimited","Unlimited","7","26.99","USD","","","2026-07-27","BEL","d1383f4c-cb79-4d2e-b340-28eea283629e","Select Unlimited - 7 days for 26.99 USD.","","26.99","offer_schema"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Unlimited","Unlimited","10","34.99","USD","","","2026-07-27","BEL","c668dc58-2871-4be8-b921-dfaa7c0d5cb7","Select Unlimited - 10 days for 34.99 USD.","","34.99","offer_schema"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Unlimited","Unlimited","15","48.99","USD","","","2026-07-27","BEL","b277dc33-2bf2-4f07-95a7-cf7ae2f3ed8a","Select Unlimited - 15 days for 48.99 USD.","","48.99","offer_schema"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Unlimited","Unlimited","20","59.99","USD","","","2026-07-27","BEL","98e65095-26c7-400e-ad82-8181e3fc0d5f","Select Unlimited - 20 days for 59.99 USD.","","59.99","offer_schema"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Unlimited","Unlimited","25","65.99","USD","","","2026-07-27","BEL","1feee147-dd2f-4b3c-8686-90b93c10bd6b","Select Unlimited - 25 days for 65.99 USD.","","65.99","offer_schema"
"saily","Belgium","BE","Belgium","https://saily.com/esim-belgium/","Unlimited","Unlimited","30","71.99","USD","","","2026-07-27","BEL","1366deb7-778d-4af1-9320-f46134515320","Select Unlimited - 30 days for 71.99 USD.","","71.99","offer_schema"
"saily","Belize","BZ","Belize","https://saily.com/esim-belize/","Standard","1","7","8.99","USD","","","2026-07-27","BLZ","saily-BLZ-Standard-1-7-8.99","Select 1 GB - 7 days for 8.99 USD.","","8.99","visible_text"
"saily","Belize","BZ","Belize","https://saily.com/esim-belize/","Standard","3","30","26.49","USD","","","2026-07-27","BLZ","saily-BLZ-Standard-3-30-26.49","Select 3 GB - 30 days for 26.49 USD.","","26.49","visible_text"
"saily","Bermuda","BM","Bermuda","https://saily.com/esim-bermuda/","Standard","1","7","6.99","USD","","","2026-07-27","BMU","saily-BMU-Standard-1-7-6.99","Select 1 GB - 7 days for 6.99 USD.","","6.99","visible_text"
"saily","Bermuda","BM","Bermuda","https://saily.com/esim-bermuda/","Standard","3","30","18.99","USD","","","2026-07-27","BMU","saily-BMU-Standard-3-30-18.99","Select 3 GB - 30 days for 18.99 USD.","","18.99","visible_text"
"saily","Bermuda","BM","Bermuda","https://saily.com/esim-bermuda/","Standard","5","30","28.99","USD","","","2026-07-27","BMU","saily-BMU-Standard-5-30-28.99","Select 5 GB - 30 days for 28.99 USD.","","28.99","visible_text"
"saily","Bermuda","BM","Bermuda","https://saily.com/esim-bermuda/","Standard","10","30","38.99","USD","","","2026-07-27","BMU","saily-BMU-Standard-10-30-38.99","Select 10 GB - 30 days for 38.99 USD.","","38.99","visible_text"
"saily","Bosnia And Herzegovina","BA","Bosnia and Herzegovina","https://saily.com/esim-bosnia-and-herzegovina/","Standard","1","7","4.99","USD","","","2026-07-27","BIH","saily-BIH-Standard-1-7-4.99","Select 1 GB - 7 days for 4.99 USD.","","4.99","visible_text"
"saily","Bosnia And Herzegovina","BA","Bosnia and Herzegovina","https://saily.com/esim-bosnia-and-herzegovina/","Standard","3","30","9.99","USD","","","2026-07-27","BIH","saily-BIH-Standard-3-30-9.99","Select 3 GB - 30 days for 9.99 USD.","","9.99","visible_text"
"saily","Bosnia And Herzegovina","BA","Bosnia and Herzegovina","https://saily.com/esim-bosnia-and-herzegovina/","Standard","5","30","13.99","USD","","","2026-07-27","BIH","saily-BIH-Standard-5-30-13.99","Select 5 GB - 30 days for 13.99 USD.","","13.99","visible_text"
"saily","Botswana","BW","Botswana","https://saily.com/esim-botswana/","Standard","1","7","6.99","USD","","","2026-07-27","BWA","saily-BWA-Standard-1-7-6.99","Select 1 GB - 7 days for 6.99 USD.","","6.99","visible_text"
"saily","Botswana","BW","Botswana","https://saily.com/esim-botswana/","Standard","3","30","17.99","USD","","","2026-07-27","BWA","saily-BWA-Standard-3-30-17.99","Select 3 GB - 30 days for 17.99 USD.","","17.99","visible_text"
"saily","Botswana","BW","Botswana","https://saily.com/esim-botswana/","Standard","5","30","26.99","USD","","","2026-07-27","BWA","saily-BWA-Standard-5-30-26.99","Select 5 GB - 30 days for 26.99 USD.","","26.99","visible_text"
"saily","Botswana","BW","Botswana","https://saily.com/esim-botswana/","Standard","10","30","43.99","USD","","","2026-07-27","BWA","saily-BWA-Standard-10-30-43.99","Select 10 GB - 30 days for 43.99 USD.","","43.99","visible_text"
"saily","Brazil","BR","Brazil","https://saily.com/esim-brazil/","Standard","1","7","3.99","USD","","","2026-07-27","BRA","saily-BRA-Standard-1-7-3.99","Select 1 GB - 7 days for 3.99 USD.","","3.99","visible_text"
"saily","Brazil","BR","Brazil","https://saily.com/esim-brazil/","Standard","3","30","9.99","USD","","","2026-07-27","BRA","saily-BRA-Standard-3-30-9.99","Select 3 GB - 30 days for 9.99 USD.","","9.99","visible_text"
"saily","Brazil","BR","Brazil","https://saily.com/esim-brazil/","Standard","5","30","13.99","USD","","","2026-07-27","BRA","saily-BRA-Standard-5-30-13.99","Select 5 GB - 30 days for 13.99 USD.","","13.99","visible_text"
"saily","Brazil","BR","Brazil","https://saily.com/esim-brazil/","Standard","10","30","24.99","USD","","","2026-07-27","BRA","saily-BRA-Standard-10-30-24.99","Select 10 GB - 30 days for 24.99 USD.","","24.99","visible_text"
"saily","Brazil","BR","Brazil","https://saily.com/esim-brazil/","Standard","20","30","39.99","USD","","","2026-07-27","BRA","saily-BRA-Standard-20-30-39.99","Select 20 GB - 30 days for 39.99 USD.","","39.99","visible_text"
